Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,uses
J0795,"Injection, corticorelin ovine triflutate, 1 microgram",Acthrel,Corticorelin Ovine Triflutate, 
J0800,"Injection, corticotropin, up to 40 units",H.P. Acthar,Corticotropin, 
J0834,"Injection, cosyntropin (cortrosyn), 0.25 mg",Cortrosyn*,Cosyntropin*, 
J0840,"Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram",Crofab,"Antivenin,crotalidae Fab(Ovin)", 
J0850,"Injection, cytomegalovirus immune globulin intravenous (human), per vial",Cytogam,Cytomegalovirus Immune Globuln,"This medication is used to prevent a certain serious viral infection (cytomegalovirus-CMV) in persons having an organ transplant (kidney, heart, liver, lung, pancreas). During the transplant process, the body's defense system (immune system) is weakened to prevent the body from attacking (rejecting) the new organ. A weakened immune system increases the risk of a serious, possibly fatal infection with CMV. This medication is made from healthy human blood that has a high level of certain defensive substances (antibodies) that help fight CMV. This medication is often used with the antiviral medication ganciclovir."
J0875,"Injection, dalbavancin, 5 mg",Dalvance,Dalbavancin HCL,This medication is used to treat serious bacterial infections of the skin. It works by stopping the growth of bacteria.
J0878,"Injection, daptomycin, 1 mg",Cubicin*,Daptomycin*,This medication is an antibiotic used to treat serious bacterial infections. It works by stopping the growth of bacteria. This medication is not recommended for use in children younger than 12 months due to possible risk of serious side effects.
J0881,"Injection, darbepoetin alfa, 1 microgram",Aranesp (J0881),Darbepoetin Alfa In Polysorbat,This medication is used to treat anemia (low red blood cell count) in people with long-term serious kidney disease (chronic kidney failure) and people receiving chemotherapy for some types of cancer (cancer that does not involve the bone marrow or blood cells). Darbepoetin alfa also helps to reduce the need for blood transfusions. It works by signaling the bone marrow to make more red blood cells. This medication is very similar to the natural substance in your body (erythropoietin) that prevents anemia.
J0882,"Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)",Aranesp (J0882),Darbepoetin Alfa In Polysorbat,This medication is used to treat anemia (low red blood cell count) in people with long-term serious kidney disease (chronic kidney failure) and people receiving chemotherapy for some types of cancer (cancer that does not involve the bone marrow or blood cells). Darbepoetin alfa also helps to reduce the need for blood transfusions. It works by signaling the bone marrow to make more red blood cells. This medication is very similar to the natural substance in your body (erythropoietin) that prevents anemia.
J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units",Epogen (J0885)*,Epoetin Alfa*,"This medication is used to treat anemia (low red blood cell count) in people with long-term serious kidney disease (chronic kidney failure), people receiving zidovudine to treat HIV, and people receiving chemotherapy for some types of cancer (cancer that does not involve the bone marrow or blood cells). It may also be used in anemic patients to reduce the need for blood transfusions before certain planned surgeries that have a high risk of blood loss (usually given with an anticoagulant/""blood thinner"" medication such as warfarin to lower the risk of serious blood clots). Epoetin alfa works by signaling the bone marrow to make more red blood cells. This medication is very similar to the natural substance in your body (erythropoietin) that prevents anemia."
J0894,"Injection, decitabine, 1 mg",Dacogen*,Decitabine*,"This medication is used to treat a group of blood/bone marrow disorders (myelodysplastic syndromes-MDS) in which the bone marrow does not produce enough healthy blood cells. People with MDS may have problems such as infections, anemia, and easy bleeding/bruising. Decitabine is a chemotherapy drug. It is believed to work by helping your bone marrow grow normal blood cells so you will need fewer blood transfusions. Decitabine also kills abnormal blood cells that have grown too fast and do not work properly."
J0895,"Injection, deferoxamine mesylate, 500 mg",Deferoxamine Mesylate*,Deferoxamine Mesylate*,"This medication is used along with other treatments (such as causing vomiting with syrup of ipecac, stomach pumping) to treat sudden iron poisoning. It is most effective when given as soon as possible after the iron was eaten. This medication can also be used to help get rid of iron in patients with high iron levels due to many blood transfusions. Deferoxamine is an iron-binding agent that belongs to a class of drugs known as heavy metal antagonists. It works by helping the kidneys and gallbladder get rid of the extra iron. This medication is not recommended for use in children less than 3 years old (see also Precautions section)."
J0897,"Injection, denosumab, 1 mg",Prolia*,Denosumab*,"Denosumab is used to treat bone loss (osteoporosis) in women who are at high risk for bone fracture after menopause. It is also used to treat bone loss in men who are at high risk for bone fracture. Osteoporosis causes bones to become thinner and break more easily. Your chance of developing osteoporosis increases after menopause (in women), as you age, if someone in your family has osteoporosis, or if you take corticosteroid medications (such as prednisone) for long periods. Denosumab is also used to treat bone loss in women who are at high risk for bone fracture while receiving certain treatments for breast cancer. Denosumab is also used to treat bone loss in men who are at high risk of bone fracture while receiving certain treatments for prostate cancer that has not spread to other parts of the body. This medication works by slowing bone loss to help maintain strong bones and reduce the risk of broken bones (fractures). Denosumab belongs to a class of drugs called monoclonal antibodies. It prevents certain cells in the body (osteoclasts) from breaking down bone."
J1000,"Injection, depo-estradiol cypionate, up to 5 mg",Depo-Estradiol,Estradiol Cypionate,"This medication is a female hormone (estrogen). It is used by women to help reduce symptoms of menopause (such as hot flashes, vaginal dryness). These symptoms are caused by the body making less estrogen. If you are using this medication to treat symptoms only in and around the vagina, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. This medication may also be used by women who are not able to produce enough estrogen (for example, due to hypogonadism, primary ovarian failure)."
J1020,"Injection, methylprednisolone acetate, 20 mg",Depo-Medrol (J1020)*,MethylprednIsolone Acetate*,"Methylprednisolone is used to treat pain and swelling that occurs with arthritis and other joint disorders. This medication may also be used to treat various conditions such as blood disorders, severe allergic reactions, certain cancers, eye conditions, skin/intestinal/kidney/lung diseases, and immune system disorders. It decreases your immune system's response to these conditions and reduces symptoms such as swelling, pain, and allergic-type reactions. Talk to your doctor about the risks and benefits of methylprednisolone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use. Methylprednisolone is a corticosteroid hormone. Methylprednisolone may also be used with other medications in hormone disorders."
J1030,"Injection, methylprednisolone acetate, 40 mg",Depo-Medrol (J1030)*,MethylprednIsolone Acetate*,"Methylprednisolone is used to treat pain and swelling that occurs with arthritis and other joint disorders. This medication may also be used to treat various conditions such as blood disorders, severe allergic reactions, certain cancers, eye conditions, skin/intestinal/kidney/lung diseases, and immune system disorders. It decreases your immune system's response to these conditions and reduces symptoms such as swelling, pain, and allergic-type reactions. Talk to your doctor about the risks and benefits of methylprednisolone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use. Methylprednisolone is a corticosteroid hormone. Methylprednisolone may also be used with other medications in hormone disorders."
J1040,"Injection, methylprednisolone acetate, 80 mg",Depo-Medrol (J1040)*,MethylprednIsolone Acetate*,"Methylprednisolone is used to treat pain and swelling that occurs with arthritis and other joint disorders. This medication may also be used to treat various conditions such as blood disorders, severe allergic reactions, certain cancers, eye conditions, skin/intestinal/kidney/lung diseases, and immune system disorders. It decreases your immune system's response to these conditions and reduces symptoms such as swelling, pain, and allergic-type reactions. Talk to your doctor about the risks and benefits of methylprednisolone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use. Methylprednisolone is a corticosteroid hormone. Methylprednisolone may also be used with other medications in hormone disorders."
